Index,Year,Births,Rank,Name
257,1949,14945,22,Betty
258,1950,13612,26,Betty
259,1951,12823,29,Betty
260,1952,12131,32,Betty
261,1953,11362,33,Betty
262,1954,10616,36,Betty
263,1955,9927,36,Betty
264,1956,9215,44,Betty
265,1957,8473,50,Betty
266,1958,7709,54,Betty
267,1959,7318,59,Betty
268,1960,6502,68,Betty
269,1961,5579,87,Betty
270,1962,4765,97,Betty
271,1963,4154,104,Betty
272,1964,4067,102,Betty
273,1965,3565,103,Betty
274,1966,2948,121,Betty
275,1967,2543,137,Betty
276,1968,2134,153,Betty
277,1969,2134,154,Betty
278,1970,1967,169,Betty
279,1971,1763,175,Betty
280,1972,1366,203,Betty
281,1973,1323,196,Betty
282,1974,1130,228,Betty
283,1975,1021,237,Betty
284,1976,0,0,Betty
285,1977,0,0,Betty
286,1978,0,0,Betty
287,1979,0,0,Betty
288,1980,0,0,Betty
289,1981,0,0,Betty
290,1982,0,0,Betty
291,1983,0,0,Betty
292,1984,0,0,Betty
293,1985,0,0,Betty
294,1986,0,0,Betty
295,1987,0,0,Betty
296,1988,0,0,Betty
297,1989,0,0,Betty
298,1990,0,0,Betty
299,1991,0,0,Betty
300,1992,0,0,Betty
301,1993,0,0,Betty
302,1994,0,0,Betty
303,1995,0,0,Betty
304,1996,0,0,Betty
305,1997,0,0,Betty
306,1998,0,0,Betty
307,1999,0,0,Betty
308,2000,0,0,Betty
309,2001,0,0,Betty
310,2002,0,0,Betty
311,2003,0,0,Betty
312,2004,0,0,Betty
313,2005,0,0,Betty
314,2006,0,0,Betty
315,2007,0,0,Betty
316,2008,0,0,Betty
317,2009,0,0,Betty
318,2010,0,0,Betty
319,2011,0,0,Betty
320,2012,0,0,Betty
321,2013,0,0,Betty
322,2014,0,0,Betty
323,2015,0,0,Betty
324,2016,0,0,Betty
325,1936,23912,5,Patricia
326,1937,26839,3,Patricia
327,1938,27555,3,Patricia
328,1939,29705,3,Patricia
329,1940,32662,3,Patricia
330,1941,36902,3,Patricia
331,1942,39453,3,Patricia
332,1943,39623,3,Patricia
333,1944,36875,4,Patricia
334,1945,35839,4,Patricia
335,1946,46297,3,Patricia
336,1947,51276,3,Patricia
337,1948,46136,4,Patricia
338,1949,46334,3,Patricia
339,1950,47948,3,Patricia
340,1951,56446,3,Patricia
341,1952,53094,3,Patricia
342,1953,51005,4,Patricia
343,1954,49142,4,Patricia
344,1955,46217,6,Patricia
345,1956,43327,6,Patricia
346,1957,39279,8,Patricia
347,1958,37932,5,Patricia
348,1959,35220,6,Patricia
349,1960,32103,7,Patricia
350,1961,28869,6,Patricia
351,1962,26537,6,Patricia
352,1963,25366,7,Patricia
353,1964,26091,5,Patricia
354,1965,23553,6,Patricia
355,1966,20116,7,Patricia
356,1967,17746,11,Patricia
357,1968,15809,15,Patricia
358,1969,14956,18,Patricia
359,1970,13406,24,Patricia
360,1971,11467,26,Patricia
361,1972,9602,27,Patricia
362,1973,8476,27,Patricia
363,1974,8037,29,Patricia
364,1975,7053,36,Patricia
365,1976,6017,43,Patricia
366,1977,5905,47,Patricia
367,1978,5499,48,Patricia
368,1979,5649,44,Patricia
369,1980,5310,51,Patricia
370,1981,5284,53,Patricia
371,1982,5168,59,Patricia
372,1983,4921,60,Patricia
373,1984,4475,66,Patricia
374,1985,4399,64,Patricia
375,1986,4246,66,Patricia
376,1987,3913,76,Patricia
377,1988,3798,77,Patricia
378,1989,3606,89,Patricia
379,1990,3578,97,Patricia
380,1991,3417,101,Patricia
381,1992,2951,111,Patricia
382,1993,2661,125,Patricia
383,1994,2363,135,Patricia
384,1995,2160,150,Patricia
385,1996,1971,159,Patricia
386,1997,1781,169,Patricia
387,1998,1704,180,Patricia
388,1999,1533,201,Patricia
389,2000,1392,226,Patricia
390,2001,0,0,Patricia
391,2002,0,0,Patricia
392,2003,0,0,Patricia
393,2004,0,0,Patricia
394,2005,0,0,Patricia
395,2006,0,0,Patricia
396,2007,0,0,Patricia
397,2008,0,0,Patricia
398,2009,0,0,Patricia
399,2010,0,0,Patricia
400,2011,0,0,Patricia
401,2012,0,0,Patricia
402,2013,0,0,Patricia
403,2014,0,0,Patricia
404,2015,0,0,Patricia
405,2016,0,0,Patricia
406,1936,17668,6,Dorothy
407,1937,16571,8,Dorothy
408,1938,16349,8,Dorothy
409,1939,15169,9,Dorothy
410,1940,14877,12,Dorothy
411,1941,14562,14,Dorothy
412,1942,15032,17,Dorothy
413,1943,14787,19,Dorothy
414,1944,13379,19,Dorothy
415,1945,12327,20,Dorothy
416,1946,12797,23,Dorothy
417,1947,12750,26,Dorothy
418,1948,11324,29,Dorothy
419,1949,10406,32,Dorothy
420,1950,9552,35,Dorothy
421,1951,9090,42,Dorothy
422,1952,8609,46,Dorothy
423,1953,8152,49,Dorothy
424,1954,7793,55,Dorothy
425,1955,7239,65,Dorothy
426,1956,6860,72,Dorothy
427,1957,6400,74,Dorothy
428,1958,5539,86,Dorothy
429,1959,5238,94,Dorothy
430,1960,5077,95,Dorothy
431,1961,4727,99,Dorothy
432,1962,4073,111,Dorothy
433,1963,3792,116,Dorothy
434,1964,3534,118,Dorothy
435,1965,2961,130,Dorothy
436,1966,2667,136,Dorothy
437,1967,2315,148,Dorothy
438,1968,2085,157,Dorothy
439,1969,1778,181,Dorothy
440,1970,1801,180,Dorothy
441,1971,1625,191,Dorothy
442,1972,1277,218,Dorothy
443,1973,1174,215,Dorothy
444,1974,1100,232,Dorothy
445,1975,975,250,Dorothy
446,1976,983,240,Dorothy
447,1977,0,0,Dorothy
448,1978,0,0,Dorothy
449,1979,0,0,Dorothy
450,1980,0,0,Dorothy
451,1981,0,0,Dorothy
452,1982,0,0,Dorothy
453,1983,0,0,Dorothy
454,1984,0,0,Dorothy
455,1985,0,0,Dorothy
456,1986,0,0,Dorothy
457,1987,0,0,Dorothy
458,1988,0,0,Dorothy
459,1989,0,0,Dorothy
460,1990,0,0,Dorothy
461,1991,0,0,Dorothy
462,1992,0,0,Dorothy
463,1993,0,0,Dorothy
464,1994,0,0,Dorothy
465,1995,0,0,Dorothy
466,1996,0,0,Dorothy
467,1997,0,0,Dorothy
468,1998,0,0,Dorothy
469,1999,0,0,Dorothy
470,2000,0,0,Dorothy
471,2001,0,0,Dorothy
472,2002,0,0,Dorothy
473,2003,0,0,Dorothy
474,2004,0,0,Dorothy
475,2005,0,0,Dorothy
476,2006,0,0,Dorothy
477,2007,0,0,Dorothy
478,2008,0,0,Dorothy
479,2009,0,0,Dorothy
480,2010,0,0,Dorothy
481,2011,0,0,Dorothy
482,2012,0,0,Dorothy
483,2013,0,0,Dorothy
484,2014,0,0,Dorothy
485,2015,0,0,Dorothy
486,2016,0,0,Dorothy
487,1936,17067,7,Joan
488,1937,15297,9,Joan
489,1938,14301,10,Joan
490,1939,14140,11,Joan
491,1940,13287,14,Joan
492,1941,13382,17,Joan
493,1942,14513,18,Joan
494,1943,13228,21,Joan
495,1944,11922,22,Joan
496,1945,10395,25,Joan
497,1946,11219,28,Joan
498,1947,11274,30,Joan
499,1948,9272,37,Joan
500,1949,9204,36,Joan
501,1950,8865,40,Joan
502,1951,9405,39,Joan
503,1952,10273,37,Joan
504,1953,9772,37,Joan
505,1954,9519,40,Joan
506,1955,8553,47,Joan
507,1956,8078,52,Joan
508,1957,7583,60,Joan
509,1958,6781,68,Joan
510,1959,6337,76,Joan
511,1960,5879,81,Joan
512,1961,5547,89,Joan
513,1962,4882,94,Joan
514,1963,4560,95,Joan
515,1964,4147,99,Joan
516,1965,3283,116,Joan
517,1966,2724,132,Joan
518,1967,2306,149,Joan
519,1968,1784,182,Joan
520,1969,1567,200,Joan
521,1970,1307,241,Joan
522,1971,0,0,Joan
523,1972,0,0,Joan
524,1973,0,0,Joan
525,1974,0,0,Joan
526,1975,0,0,Joan
527,1976,0,0,Joan
528,1977,0,0,Joan
529,1978,0,0,Joan
530,1979,0,0,Joan
531,1980,0,0,Joan
532,1981,0,0,Joan
533,1982,0,0,Joan
534,1983,0,0,Joan
535,1984,0,0,Joan
536,1985,0,0,Joan
537,1986,0,0,Joan
538,1987,0,0,Joan
539,1988,0,0,Joan
540,1989,0,0,Joan
541,1990,0,0,Joan
542,1991,0,0,Joan
543,1992,0,0,Joan
544,1993,0,0,Joan
545,1994,0,0,Joan
546,1995,0,0,Joan
547,1996,0,0,Joan
548,1997,0,0,Joan
549,1998,0,0,Joan
550,1999,0,0,Joan
551,2000,0,0,Joan
552,2001,0,0,Joan
553,2002,0,0,Joan
554,2003,0,0,Joan
555,2004,0,0,Joan
556,2005,0,0,Joan
557,2006,0,0,Joan
558,2007,0,0,Joan
559,2008,0,0,Joan
560,2009,0,0,Joan
561,2010,0,0,Joan
562,2011,0,0,Joan
563,2012,0,0,Joan
564,2013,0,0,Joan
565,2014,0,0,Joan
566,2015,0,0,Joan
567,2016,0,0,Joan
568,1936,16756,8,Nancy
569,1937,17067,7,Nancy
570,1938,18947,7,Nancy
571,1939,19725,7,Nancy
572,1940,19732,7,Nancy
573,1941,20882,8,Nancy
574,1942,23326,8,Nancy
575,1943,23990,9,Nancy
576,1944,23212,7,Nancy
577,1945,21454,7,Nancy
578,1946,28343,7,Nancy
579,1947,32443,7,Nancy
580,1948,29412,7,Nancy
581,1949,29241,7,Nancy
582,1950,29619,6,Nancy
583,1951,30349,7,Nancy
584,1952,31731,7,Nancy
585,1953,30605,8,Nancy
586,1954,30263,9,Nancy
587,1955,30010,9,Nancy
588,1956,28785,11,Nancy
589,1957,27509,11,Nancy
590,1958,24814,12,Nancy
591,1959,23080,14,Nancy
592,1960,21896,15,Nancy
593,1961,20714,16,Nancy
594,1962,18030,19,Nancy
595,1963,16268,23,Nancy
596,1964,14694,26,Nancy
597,1965,12257,32,Nancy
598,1966,11726,33,Nancy
599,1967,10266,37,Nancy
600,1968,8961,39,Nancy
601,1969,7899,45,Nancy
602,1970,7064,50,Nancy
603,1971,6213,52,Nancy
604,1972,4820,63,Nancy
605,1973,3943,77,Nancy
606,1974,3896,78,Nancy
607,1975,3510,82,Nancy
608,1976,3281,87,Nancy
609,1977,3221,89,Nancy
610,1978,3048,97,Nancy
611,1979,2866,107,Nancy
612,1980,2805,110,Nancy
613,1981,2909,101,Nancy
614,1982,2805,106,Nancy
615,1983,2520,113,Nancy
616,1984,2484,113,Nancy
617,1985,2606,109,Nancy
618,1986,2426,116,Nancy
619,1987,2235,126,Nancy
620,1988,2344,121,Nancy
621,1989,2343,128,Nancy
622,1990,2384,131,Nancy
623,1991,2497,125,Nancy
624,1992,2185,142,Nancy
625,1993,1985,156,Nancy
626,1994,2190,144,Nancy
627,1995,2001,159,Nancy
628,1996,1823,172,Nancy
629,1997,1525,196,Nancy
630,1998,1478,208,Nancy
631,1999,1416,227,Nancy
632,2000,1376,232,Nancy
633,2001,1418,223,Nancy
634,2002,1361,231,Nancy
635,2003,0,0,Nancy
636,2004,0,0,Nancy
637,2005,0,0,Nancy
638,2006,0,0,Nancy
639,2007,0,0,Nancy
640,2008,0,0,Nancy
641,2009,0,0,Nancy
642,2010,0,0,Nancy
643,2011,0,0,Nancy
644,2012,0,0,Nancy
645,2013,0,0,Nancy
646,2014,0,0,Nancy
647,2015,0,0,Nancy
648,2016,0,0,Nancy
649,1936,14593,9,Margaret
650,1937,15145,10,Margaret
651,1938,15330,9,Margaret
652,1939,14951,10,Margaret
653,1940,15058,11,Margaret
654,1941,15696,12,Margaret
655,1942,16551,14,Margaret
656,1943,17149,14,Margaret
657,1944,16318,14,Margaret
658,1945,15682,15,Margaret
659,1946,18132,17,Margaret
660,1947,20102,16,Margaret
661,1948,18871,13,Margaret
662,1949,19452,14,Margaret
663,1950,18109,15,Margaret
664,1951,17695,17,Margaret
665,1952,17086,21,Margaret
666,1953,16205,20,Margaret
667,1954,15227,21,Margaret
668,1955,14432,24,Margaret
669,1956,13916,25,Margaret
670,1957,13012,29,Margaret
671,1958,12314,31,Margaret
672,1959,11572,36,Margaret
673,1960,11369,36,Margaret
674,1961,10544,40,Margaret
675,1962,10077,43,Margaret
676,1963,9306,46,Margaret
677,1964,9110,49,Margaret
678,1965,7792,52,Margaret
679,1966,6961,54,Margaret
680,1967,6227,58,Margaret
681,1968,5437,63,Margaret
682,1969,5045,73,Margaret
683,1970,4705,80,Margaret
684,1971,4001,86,Margaret
685,1972,3286,95,Margaret
686,1973,3168,94,Margaret
687,1974,3090,95,Margaret
688,1975,2950,98,Margaret
689,1976,2668,103,Margaret
690,1977,2624,111,Margaret
691,1978,2634,110,Margaret
692,1979,2830,108,Margaret
693,1980,2861,105,Margaret
694,1981,2791,107,Margaret
695,1982,2998,97,Margaret
696,1983,2942,92,Margaret
697,1984,3041,92,Margaret
698,1985,3069,90,Margaret
699,1986,3081,90,Margaret
700,1987,3144,90,Margaret
701,1988,3138,93,Margaret
702,1989,3285,97,Margaret
703,1990,3370,102,Margaret
704,1991,3194,108,Margaret
705,1992,3241,102,Margaret
706,1993,3167,102,Margaret
707,1994,3104,106,Margaret
708,1995,3221,104,Margaret
709,1996,3104,105,Margaret
710,1997,2965,110,Margaret
711,1998,2962,114,Margaret
712,1999,2958,110,Margaret
713,2000,3120,110,Margaret
714,2001,2895,118,Margaret
715,2002,2674,129,Margaret
716,2003,2623,128,Margaret
717,2004,2435,133,Margaret
718,2005,2311,151,Margaret
719,2006,2188,160,Margaret
720,2007,2025,173,Margaret
721,2008,1862,177,Margaret
722,2009,1762,188,Margaret
723,2010,1698,182,Margaret
724,2011,1699,186,Margaret
725,2012,1776,176,Margaret
726,2013,1773,180,Margaret
727,2014,1949,169,Margaret
728,2015,2103,154,Margaret
729,2016,2202,139,Margaret
730,1936,14521,10,Carol
731,1937,17335,6,Carol
732,1938,19423,6,Carol
733,1939,20169,6,Carol
734,1940,21760,6,Carol
735,1941,24183,4,Carol
736,1942,30271,5,Carol
737,1943,31680,5,Carol
738,1944,30457,5,Carol
739,1945,30388,5,Carol
740,1946,34282,5,Carol
741,1947,33538,6,Carol
742,1948,28982,8,Carol
743,1949,26781,8,Carol
744,1950,26163,9,Carol
745,1951,24781,11,Carol
746,1952,23989,12,Carol
747,1953,22281,16,Carol
748,1954,22251,15,Carol
749,1955,22039,16,Carol
750,1956,21405,16,Carol
751,1957,21902,18,Carol
752,1958,19692,20,Carol
753,1959,18123,22,Carol
754,1960,17463,23,Carol
755,1961,16667,24,Carol
756,1962,14522,28,Carol
757,1963,12494,33,Carol
758,1964,12125,36,Carol
759,1965,10100,42,Carol
760,1966,8261,48,Carol
761,1967,7488,47,Carol
762,1968,7079,49,Carol
763,1969,6140,55,Carol
764,1970,5063,71,Carol
765,1971,3857,93,Carol
766,1972,3009,109,Carol
767,1973,2461,121,Carol
768,1974,2039,138,Carol
769,1975,1786,150,Carol
770,1976,1493,171,Carol
771,1977,1345,198,Carol
772,1978,1262,205,Carol
773,1979,1166,224,Carol
774,1980,1105,232,Carol
775,1981,1043,238,Carol
776,1982,0,0,Carol
777,1983,0,0,Carol
778,1984,0,0,Carol
779,1985,0,0,Carol
780,1986,0,0,Carol
781,1987,0,0,Carol
782,1988,0,0,Carol
783,1989,0,0,Carol
784,1990,0,0,Carol
785,1991,0,0,Carol
786,1992,0,0,Carol
787,1993,0,0,Carol
788,1994,0,0,Carol
789,1995,0,0,Carol
790,1996,0,0,Carol
791,1997,0,0,Carol
792,1998,0,0,Carol
793,1999,0,0,Carol
794,2000,0,0,Carol
795,2001,0,0,Carol
796,2002,0,0,Carol
797,2003,0,0,Carol
798,2004,0,0,Carol
799,2005,0,0,Carol
800,2006,0,0,Carol
801,2007,0,0,Carol
802,2008,0,0,Carol
803,2009,0,0,Carol
804,2010,0,0,Carol
805,2011,0,0,Carol
806,2012,0,0,Carol
807,2013,0,0,Carol
808,2014,0,0,Carol
809,2015,0,0,Carol
810,2016,0,0,Carol
